,Bearing 1,Bearing 2,Bearing 3,Bearing 4
.DS_Store,,,,
2004.02.12.10.52.39,0.002489574686263978,0.0016950534694076859,0.0015952927389032672,0.003486596025196543
2004.02.12.11.02.39,0.002277552614873773,0.002395575955857219,0.003139020459983397,0.0037390497582889793
2004.02.12.11.12.39,0.0024007519898432543,0.0015604277552614871,0.0011625079349577613,0.0027048684017774304
2004.02.12.11.22.39,0.0016164851799404267,0.0014471898041896578,0.0008521900483422044,0.0028213779969725084
2004.02.12.11.32.39,0.001603447433956736,0.001692953757507691,0.0018575125738561449,0.0029069290492699843
2004.02.12.11.42.39,0.0020229503393720395,0.001741100639679672,0.0017064798085844038,0.0023279945309829585
2004.02.12.11.52.39,0.0019116656086722982,0.0007968650813027982,0.0013194980223643733,0.0025424581278382734
2004.02.12.12.02.39,0.0021022022559695295,0.001722691537672738,0.001894281947360711,0.0027739147419307583
2004.02.12.12.12.39,0.001790175301528395,0.0019296840666048146,0.0020146491527906632,0.0030760291029835445
2004.02.12.12.22.39,0.001551540602568485,0.0019695297621954194,0.001929000439474584,0.0027820694369842277
2004.02.12.12.32.39,0.00244723863469896,0.0017852922505981735,0.0018585868450607939,0.003140876019336882
2004.02.12.12.42.39,0.0010420430685092047,0.0012688119537086775,0.0017522828263098783,0.0028943307778700133
2004.02.12.12.52.39,0.002368230870647981,0.0016926607744518775,0.001582010840373065,0.0030388202548952583
2004.02.12.13.02.39,0.001524879144489477,0.0012197372918599538,0.0018334391327701548,0.0032518677669808095
2004.02.12.13.12.39,0.0020187509155720493,0.0012287221055715608,0.0016185360613311193,0.0027115581815518337
2004.02.12.13.22.39,0.0016630206553054346,0.001663557790907759,0.0014100297866106743,0.00276312319937497
2004.02.12.13.32.39,0.0027584843009912595,0.0017765027589237753,0.0018641535231212463,0.0030730992724254114
2004.02.12.13.42.39,0.0022633917671761317,0.0007687387079447239,0.0014240441427804096,0.0030722203232579712
2004.02.12.13.52.39,0.0014497778211826748,0.001683822452268177,0.001846428048244543,0.002981786220030275
2004.02.12.14.02.39,0.0018082425899702134,0.001247619512671517,0.000830509302212022,0.0029347136090629427
2004.02.12.14.12.39,0.001800136725426046,0.0014469456516431466,0.0012899067337272328,0.0026989599101518626
2004.02.12.14.22.39,0.0022460569363738463,0.0014367889057082868,0.001339274378631769,0.003092875628692807
2004.02.12.14.32.39,0.0019790028810000486,0.001320621124078324,0.002378875921675863,0.00295893354167684
2004.02.12.14.42.39,0.002177059426729821,0.0015187265003173986,0.001971385321548904,0.0032147077494018264
2004.02.12.14.52.39,0.001515406025684848,0.0015208750427266958,0.0019985839152302357,0.003077396357244006
2004.02.12.15.02.39,0.002261731529859857,0.0021224180868206458,0.0023545094975340594,0.0031849211387274773
2004.02.12.15.12.39,0.0023552907856828945,0.0013347331412666638,0.001292445920210948,0.0030218760681673907
2004.02.12.15.22.39,0.002441671956638508,0.0015298598564383028,0.0017910542506958348,0.0029090287611699787
2004.02.12.15.32.39,0.0022756482250109867,0.0020547878314370817,0.001462864397675668,0.003471653889350066
2004.02.12.15.42.39,0.001818789979979491,0.001796669759265589,0.0016917818252844379,0.0029387177108257238
2004.02.12.15.52.39,0.0018770447775770297,0.0019925289320767616,0.0018449143024561747,0.0035017823135895312
2004.02.12.16.02.39,0.001982713999707017,0.0017816787929098102,0.002544948483812686,0.003245226817715709
2004.02.12.16.12.39,0.0013543141754968505,0.0013839054641339912,0.0016903657405146738,0.0026158992138288007
2004.02.12.16.22.39,0.0017911519117144391,0.0015713657893451829,0.001158699155232189,0.0030814981200253918
2004.02.12.16.32.39,0.002034327848039455,0.0014751208555105232,0.0014841544997314317,0.0028107817764539285
2004.02.12.16.42.39,0.0018160554714585675,0.0022763806826505196,0.0014671126519849604,0.0030132818985302017
2004.02.12.16.52.39,0.002311880462913228,0.0017327506225889935,0.002285756140436545,0.0027565310806191706
2004.02.12.17.02.39,0.0019895014405000243,0.0018721128961375066,0.0021137750866741536,0.003387421260803751
2004.02.12.17.12.39,0.0024910884320523464,0.000879046828458421,0.0022405390888226963,0.0033070462424923098
2004.02.12.17.22.39,0.0018058987255237073,0.0009221153376629722,0.0013651057180526392,0.0027008154695053466
2004.02.12.17.32.39,0.0017299672835587674,0.0010059084916255675,0.0013555349382294057,0.003292348259192344
2004.02.12.17.42.39,0.0019466282533326822,0.001849162556765467,0.0013572928365642853,0.003033009424288295
2004.02.12.17.52.39,0.0016106255188241614,0.001102739391571854,0.0033231603105620395,0.0033474779041945406
2004.02.12.18.02.39,0.0017413447922261826,0.002051760339860345,0.002089115679476537,0.003471653889350066
2004.02.12.18.12.39,0.0020141608476976413,0.0009252893207676156,0.0017630743688656673,0.0028920845744421116
2004.02.12.18.22.39,0.0021335026124322475,0.0017186386054006543,0.002915620879925778,0.002286488598076078
2004.02.12.18.32.39,0.0021988866643879094,0.0019234337614141316,0.0014584208213291668,0.003187216172664681
2004.02.12.18.42.39,0.0021234435275159923,0.001251232970359881,0.0013021631915620879,0.0028795839640607455
2004.02.12.18.52.39,0.001897065286390937,0.0017242052834611065,0.002581278382733532,0.003207529664534401
2004.02.12.19.02.39,0.0019430147956443192,0.001052492797499878,0.002073782899555643,0.0031696860198251863
2004.02.12.19.12.39,0.0018533131500561547,0.0011780848674251673,0.001583915230235851,0.003176717613164705
2004.02.12.19.22.39,0.0020480003906440747,0.0020129889154743884,0.0022078226475902144,0.0030002929830558137
2004.02.12.19.32.39,0.0019348112700815472,0.0015404072464475806,0.002893012354118853,0.0034045119390595244
2004.02.12.19.42.39,0.0021057180526392887,0.00194570047365594,0.0017150739782215928,0.00364260950241711
2004.02.12.19.52.39,0.0024287318716734213,0.0014197958884711167,0.0012259875970506372,0.0030404316617022318
2004.02.12.20.02.39,0.002037892475218517,0.0016242492309194783,0.0010010742712046486,0.003535817178573173
2004.02.12.20.12.39,0.002042433712583622,0.002352214463596855,0.0018980418965769811,0.0033057766492504514
2004.02.12.20.22.39,0.001752624639874994,0.0014133014307339225,0.0016772303335123786,0.002836173641291079
2004.02.12.20.32.39,0.001889252404902583,0.0011209043410322771,0.0010137702036232242,0.0028617608281654374
2004.02.12.20.42.39,0.0022879535133551445,0.0019489721177791883,0.0018188876409980955,0.0031371160701206117
2004.02.12.20.52.39,0.002559646467112652,0.0017559451145075448,0.0016945651643146635,0.0030460471702719863
2004.02.12.21.02.39,0.0020751013233068017,0.0018268470140143558,0.002058694272181259,0.0026848967234728255
2004.02.12.21.12.39,0.0018734313198886664,0.0014102251086478834,0.0014719957029151812,0.0030945846965183847
2004.02.12.21.22.39,0.0017883197421749112,0.001591728111724205,0.0014239953122711067,0.00304546120416036
2004.02.12.21.32.39,0.001903706235656038,0.0009713853215489035,0.0016512036720542993,0.0030351579666975928
2004.02.12.21.42.39,0.0019666975926558917,0.001009424288295327,0.0006247375360125007,0.0031623126129205533
2004.02.12.21.52.39,0.001947214219444309,0.0016394843498217689,0.002062014746813809,0.003075589628399824
2004.02.12.22.02.39,0.0024123248205478783,0.0011209043410322773,0.0013024073441085988,0.0032921529371551348
2004.02.12.22.12.39,0.0027008643000146493,0.002216270325699497,0.0016003222813613948,0.0030638214756579913
2004.02.12.22.22.39,0.0018750427266956396,0.0012397578006738612,0.0019004834220420917,0.0028383221837003764
2004.02.12.22.32.39,0.0022340446310855026,0.0018004785389911617,0.002549733873724303,0.003434054397187362
2004.02.12.22.42.39,0.0015508081449289517,0.00044943600761755947,0.0012648078519458955,0.002894965574490942
2004.02.12.22.52.39,0.001933199863274574,0.00123311685140876,0.0010096684408418377,0.0031503491381415106
2004.02.12.23.02.39,0.002063528492602178,0.0015251721275452905,0.0022763318521412178,0.00291059133746765
